species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181,3750,male
Adelie,Torgersen,39.5,17.4,186,3800,female
Adelie,Torgersen,40.3,18,195,3250,female
Adelie,Torgersen,41.1,17.6,182,3200,female
Adelie,Torgersen,38.6,21.2,191,3800,male
Adelie,Torgersen,34.6,21.1,198,4400,male
Adelie,Torgersen,36.6,17.8,185,3700,female
Gentoo,Biscoe,46.2,14.9,221,5300,male
Gentoo,Biscoe,45.7,13.9,214,4400,female
Gentoo,Biscoe,54.3,15.7,231,5650,male
Gentoo,Biscoe,45.8,14.2,219,4700,female
Gentoo,Biscoe,49.8,16.8,230,5700,male
Gentoo,Biscoe,46.2,14.4,214,4650,NA
Gentoo,Biscoe,49.5,16.2,229,5800,male
Gentoo,Biscoe,43.5,14.2,220,4700,female
Gentoo,Biscoe,50.7,15,223,5550,male
Gentoo,Biscoe,47.7,15,216,4750,female
Gentoo,Biscoe,46.4,15.6,221,5000,male
Gentoo,Biscoe,48.2,15.6,221,5100,male
Gentoo,Biscoe,46.5,14.8,217,5200,female
Gentoo,Biscoe,46.4,15,216,4700,female
Gentoo,Biscoe,48.6,16,230,5800,male
Gentoo,Biscoe,47.5,14.2,209,4600,female
Gentoo,Biscoe,51.1,16.3,220,6000,male
Gentoo,Biscoe,45.2,13.8,215,4750,female
Gentoo,Biscoe,45.2,16.4,223,5950,male
Gentoo,Biscoe,49.1,14.5,212,4625,female
Gentoo,Biscoe,52.5,15.6,221,5450,male
Gentoo,Biscoe,47.4,14.6,212,4725,female
Chinstrap,Dream,45.2,16.6,191,3250,female
Chinstrap,Dream,49.3,19.9,203,4050,male
Chinstrap,Dream,50.2,18.8,202,3800,male
Chinstrap,Dream,45.6,19.4,194,3525,female
Chinstrap,Dream,51.9,19.5,206,3950,male
Chinstrap,Dream,46.8,16.5,189,3650,female
Chinstrap,Dream,45.7,17,195,3650,female
Chinstrap,Dream,55.8,19.8,207,4000,male
Chinstrap,Dream,43.5,18.1,202,3400,female
Chinstrap,Dream,49.6,18.2,193,3775,male
Chinstrap,Dream,50.8,19,210,4100,male
Chinstrap,Dream,50.2,18.7,198,3775,female
